Country,Population,Area,membership,region
,,,,
Austria,8822267,83858,EU15,central
Belgium,11413058,305010,EU6,west
Bulgaria,7050034,110912,EU27,south
Croatia,4105493,56594,EU28,south
Cyprus,864236,9250,EU25,south
Czech Republic,10610055,78866,EU25,central
Denmark,5781190,43094,EU9,north
Estonia,1319133,45226,EU25,north
Finland,5513130,337030,EU15,north
France,67221943,643548,EU6,west
Germany,82850000,357021,EU6,central
Greece,10738868,131940,EU10,south
Hungary,9778371,93030,EU25,central
Ireland,4838259,70280,EU9,west
Italy,60483973,301320,EU6,south
Latvia,1934379,64589,EU25,north
Lithuania,2808901,65200,EU25,north
Luxembourg,602005,2586,EU6,west
Malta,474701,316,EU25,south
Netherlands,17118084,41526,EU6,west
Poland,37976687,312685,EU25,central
Portugal,10291027,92931,EU12,south
Romania,19523621,238391,EU27,south
Slovakia,5443120,48845,EU25,central
Slovenia,2066880,20253,EU25,south
Spain,46659302,504782,EU12,south
Sweden,10120242,449964,EU15,north
United Kingdom,66238007,244820,Brexit,west
